尊師 ～The Guru～,IN,15.2,738
尊師 ～The Guru～,HD,9.4,346
尊師 ～The Guru～,EZ,3.6,180
重生,IN,14.6,900
重生,HD,9.3,650
重生,EZ,5.8,354
盏茗,IN,13.3,706
盏茗,HD,4.3,176
盏茗,EZ,2.1,83
云女孩,IN,12.6,669
云女孩,HD,9.9,538
云女孩,EZ,2.8,220
月下缭乱,IN,14.8,969
月下缭乱,HD,9.4,533
月下缭乱,EZ,4.8,419
游园地,IN,13.2,481
游园地,HD,7.7,444
游园地,EZ,2.8,220
萤火虫の怨,IN,13.1,885
萤火虫の怨,HD,10.6,746
萤火虫の怨,EZ,4.3,245
桜樹街道,IN,12.6,459
桜樹街道,HD,7.4,421
桜樹街道,EZ,3.6,292
雪降り、メリクリ,IN,15.3,939
雪降り、メリクリ,HD,9.3,559
雪降り、メリクリ,EZ,5.6,316
心之所向,IN,13.6,713
心之所向,HD,9.7,422
心之所向,EZ,4.4,226
望影の方舟Six,IN,15.7,1066
望影の方舟Six,HD,12.9,526
望影の方舟Six,EZ,6.3,276
万吨匿名信,IN,13.3,781
万吨匿名信,HD,9.7,648
万吨匿名信,EZ,5.7,307
青芽,IN,14.7,1102
青芽,HD,10.8,520
青芽,EZ,5.2,366
青丘,IN,15.3,1304
青丘,HD,10.5,534
青丘,EZ,5.6,284
狂喜蘭舞,IN,14.4,968
狂喜蘭舞,HD,10.8,651
狂喜蘭舞,EZ,6.8,472
狂喜蘭舞,AT,16.1,1325
开心病,IN,14.4,840
开心病,HD,9.8,442
开心病,EZ,3.7,158
混乱-Confusion,IN,14.8,978
混乱-Confusion,HD,11.4,602
混乱-Confusion,EZ,5.3,290
華灯爱,IN,14.1,520
華灯爱,HD,9.3,394
華灯爱,EZ,5.5,318
光,IN,12.8,517
光,HD,8.4,453
光,EZ,4.9,249
风屿,IN,13.7,1156
风屿,HD,10.3,802
风屿,EZ,5.9,368
大和撫子 -Wild Dances-,IN,14.8,1002
大和撫子 -Wild Dances-,HD,11.8,549
大和撫子 -Wild Dances-,EZ,5.7,274
もぺもぺ,IN,11.1,412
もぺもぺ,HD,8.5,289
もぺもぺ,EZ,3.4,125
もぺもぺ,AT,14.9,720
ジングルベル(Jingle Bell),IN,14.5,1239
ジングルベル(Jingle Bell),HD,7.2,492
ジングルベル(Jingle Bell),EZ,4.3,639
いざ、参ります,IN,15.1,865
いざ、参ります,HD,9.6,441
いざ、参ります,EZ,4.1,188
ρars/ey,IN,14.7,777
ρars/ey,HD,11.3,449
ρars/ey,EZ,3.1,181
Ποσειδών,IN,12.8,450
Ποσειδών,HD,8.4,397
Ποσειδών,EZ,4.7,533
You are the Miserable,IN,14.6,893
You are the Miserable,HD,11.7,762
You are the Miserable,EZ,5.8,486
You are the Miserable,AT,15.8,1344
XING,IN,13.8,711
XING,HD,9.9,587
XING,EZ,5.5,310
With You,IN,13.4,774
With You,HD,9.3,654
With You,EZ,3.5,226
Winter↑cube↓,IN,13.4,733
Winter↑cube↓,HD,10.7,696
Winter↑cube↓,EZ,6.7,401
Wavetapper,IN,13.8,866
Wavetapper,HD,6.9,507
Wavetapper,EZ,4.4,470
WATER,IN,13.6,643
WATER,HD,9.4,703
WATER,EZ,4.5,338
volcanic,IN,14.8,1178
volcanic,HD,11.9,985
volcanic,EZ,7.3,1052
volcanic,AT,16.2,1650
Unorthodox Thoughts,IN,14.4,729
Unorthodox Thoughts,HD,11.3,644
Unorthodox Thoughts,EZ,4.7,512
Träne,IN,14.5,661
Träne,HD,6.7,420
Träne,EZ,1.5,148
Time to Night Sky (feat. Lee Yu Jin),IN,13.6,540
Time to Night Sky (feat. Lee Yu Jin),HD,9.1,559
Time to Night Sky (feat. Lee Yu Jin),EZ,2.7,165
The Mountain Eater,IN,14.4,697
The Mountain Eater,HD,9.1,386
The Mountain Eater,EZ,4.3,210
-SURREALISM-,IN,13.4,914
-SURREALISM-,HD,7.7,532
-SURREALISM-,EZ,4.6,302
Sultan Rage,IN,12.5,485
Sultan Rage,HD,8.5,334
Sultan Rage,EZ,3.9,159
Stasis,IN,15.5,1322
Stasis,HD,11.1,902
Stasis,EZ,5.2,446
Stasis,AT,16.4,1700
Starduster,IN,15.1,874
Starduster,HD,11.4,578
Starduster,EZ,5.6,280
Speed Up!,IN,14.3,711
Speed Up!,HD,10.3,463
Speed Up!,EZ,4.3,262
Spasmodic,IN,15.2,1389
Spasmodic,HD,12.6,904
Spasmodic,EZ,7.9,637
Spasmodic,AT,16.4,1671
Sparkle New Life,IN,12.4,684
Sparkle New Life,HD,9.2,497
Sparkle New Life,EZ,4.2,305
Snow Desert,IN,13.6,552
Snow Desert,HD,9.6,534
Snow Desert,EZ,5.1,236
SIGMA,IN,15.6,785
SIGMA,HD,11.5,516
SIGMA,EZ,4.8,352
Shadow,IN,14.5,840
Shadow,HD,10.3,549
Shadow,EZ,4.7,393
Shadow,AT,15.9,1089
Sein,IN,14.9,721
Sein,HD,9.2,473
Sein,EZ,4.6,203
Rubbish Sorting,IN,12.8,613
Rubbish Sorting,HD,9.4,475
Rubbish Sorting,EZ,3.3,229
Rrhar'il,IN,15.7,1300
Rrhar'il,HD,12.7,700
Rrhar'il,EZ,7.2,446
Rrhar'il,AT,16.8,1300
RIPPER,IN,15.2,1186
RIPPER,HD,11.2,704
RIPPER,EZ,7.8,520
RESSiSTANCE,IN,15.8,1026
RESSiSTANCE,HD,10.6,744
RESSiSTANCE,EZ,6.1,499
Reimei,IN,15.1,983
Reimei,HD,11.9,644
Reimei,EZ,6.8,325
Re_Nascence (Psystyle Ver.),IN,14.6,827
Re_Nascence (Psystyle Ver.),HD,11.4,806
Re_Nascence (Psystyle Ver.),EZ,4.7,378
Rainy Season,IN,14.4,660
Rainy Season,HD,10.7,594
Rainy Season,EZ,5.4,304
Protoflicker,IN,15.2,1210
Protoflicker,HD,10.6,511
Protoflicker,EZ,3.6,259
Pont des souvenirs,IN,15.2,899
Pont des souvenirs,HD,10.7,567
Pont des souvenirs,EZ,5.7,461
Pixel Rebelz,IN,15.2,941
Pixel Rebelz,HD,11.9,698
Pixel Rebelz,EZ,4.5,250
Parallel Retrogression(Game Ver.),IN,14.4,851
Parallel Retrogression(Game Ver.),HD,10.7,697
Parallel Retrogression(Game Ver.),EZ,6.8,507
Palescreen,IN,15.7,1059
Palescreen,HD,11.8,772
Palescreen,EZ,5.6,224
Orthodox,IN,14.2,962
Orthodox,HD,10.6,627
Orthodox,EZ,4.7,304
opia,IN,15.5,793
opia,HD,11.6,548
opia,EZ,5.4,233
On And On!!,IN,14.7,830
On And On!!,HD,10.3,323
On And On!!,EZ,5.1,195
NYA!!! (Phigros ver.) ,IN,12.9,666
